id,content,start,end,Category,style
1,Warm-Up,2019-01-16,,Individual Assignment,background-color: gold;
2,Paper Critique,2019-02-20,,Paper Critique,background-color: aqua;
3,Q1-3,2019-02-28,,Individual Assignment,background-color: pink;
4,Q4-5,2019-03-23,,Individual Assignment,background-color: pink;
5,Project Groups and Initial Proposal,2019-01-23,,Group Project,background-color: lavender;
6,Finalized Project Proposal,2019-02-13,,Group Project,background-color: lavender;
7,Project Progress Report,2019-03-13,,Group Project,background-color: lavender;
8,Presentation Submission,2019-04-01,,Group Project,background-color: lavender;
9,Github Repo,2019-04-03,,Group Project,background-color: lavender;
10,Individual Report,2019-04-04,,Group Project,background-color: lavender;
11,Seminar 1,2019-01-11,,Seminar,background-color: palegreen;
12,Seminar 2a&b,2019-01-18,,Seminar,background-color: palegreen;
13,Seminar 2c ,2019-01-25,,Seminar,background-color: palegreen;
14,Seminar 3 ,2019-02-01,,Seminar,background-color: palegreen;
15,Seminar 4 ,2019-02-15,,Seminar,background-color: palegreen;
16, Seminar 6 ,2019-03-01,,Seminar,background-color: palegreen;
