course,lect,dow,month,day,week,lecture_num,raw_notes,instructor
STAT540,lecture-1,Wed,January,3,1,1,Course intro ,PP
STAT540-Seminar,seminar-1,Wed,January,3,1,1,"Introduction to version control, Git, GitHub",TA
STAT540,lecture-2,Mon,January,8,2,2,"Molecular Biology methods intro: RNA, DNA, methylation, ChiP-Seq",PP
STAT540,lecture-3,Wed,January,10,2,3,"Exploratory data analysis, QC ",PP
STAT540-Seminar,seminar-2a,Wed,January,10,2,2,"Introduction to Markdown, Knitr",TA
STAT540,lecture-4,Mon,January,15,3,4,Stats Philosophy & Math/stat background,SM
STAT540,lecture-5,Wed,January,17,3,5,Statistical Inference - two groups,SM
STAT540-Seminar,seminar-2b,Wed,January,10,2,3,"R graphics -- ggplot2, lattice",TA
STAT540,Announcement,Wed,January,17,3,NA,Warm up assignmnent due,NA
STAT540,lecture-6,Mon,January,22,4,6,Statistical Inference - linear regression and ANOVA,SM
STAT540,lecture-7,Wed,January,24,4,7,"Statistical inference - linear models (more than two groups, and interaction testing)",SM
STAT540-Seminar,seminar-2c,Wed,January,17,4,4,Getting your hands dirty with R -- simulate data and do some statistics,TA
STAT540-Seminar,seminar-3,Wed,January,24,5,4,Load and analyze some gene expression data -- data aggregation with dplyr,TA
STAT540,Announcement,Wed,January,24,4,NA,form groups and finish initial project proposals,NA
STAT540,lecture-8,Mon,January,29,5,8,Statistical inference - multiple testing & non-parametric,SM
STAT540,lecture-9,Wed,January,31,5,9,"Batch effects, resampling, and non-parametric tests",SM
STAT540-Seminar,seminar-4,Wed,January,31,5,5,"Two group testing, fitting and interpreting linear models",TA
STAT540,lecture-10,Mon,February,5,6,10,Application of statistical inference to RNA-seq I,PP
STAT540,lecture-11,Wed,February,7,6,11,Application of statistical inference to RNA-seq II,PP
STAT540-Seminar,seminar-5,Wed,February,7,6,6,RNA-seq: from beginning to end -- BAM to count data (optional),TA
STAT540,Break,Mon,February,12,7,NA,No class; Family Day,NA
STAT540,lecture-12,Wed,February,14,7,12,Machine Learning Intro: Unsupervised learning (PCA + Clustering),SM
STAT540-Seminar,seminar-6,Wed,February,14,7,7,"Dimensionality reduction and data visualization -- clustering, PCA, t-sne",TA
STAT540,Announcement,Wed,February,14,7,NA,Final project proposal due,NA
STAT540,Break,Mon,February,19,7,NA,Midterm Break,NA
STAT540,Break,Wed,February,21,7,NA,Midterm Break,NA
STAT540,Announcement,Thurs,February,22,7,NA,Paper Critique Due,NA
STAT540,lecture-13,Mon,February,26,8,13,Supervised learning I,GFC (for SM)
STAT540,lecture-14,Wed,February,28,8,14,Supervised learning II ,SM
STAT540-Seminar,seminar-7,Wed,February,28,9,8,"Methylation analysis I -- e.g., investigating cell type heterogeneity",TA
STAT540,Announcement,Thurs,March,1,8,NA,Part 1 of assignment due,NA
STAT540,lecture-15,Mon,March,5,9,15,Genome analysis and variant prioritization,Wyeth Wasserman
STAT540,lecture-16,Wed,March,7,9,16,GWAS,SM
STAT540-Seminar,seminar-8,Wed,March,7,10,9,"eQTL (or mQTL) analysis -- finding cis variants per gene, testing for association",TA
STAT540,lecture-17,Mon,March,12,10,17,xQTL analysis,SM
STAT540,lecture-18,Wed,March,14,10,18,Cellular heterogeneity,SM
STAT540,Announcement,Wed,March,14,10,NA, Project progress report due,NA
STAT540-Seminar,seminar-9,Wed,March,14,11,10,Pathway analysis for methylation and gene expression data,TA
STAT540,lecture-19,Mon,March,19,11,19,Gene set analysis,PP
STAT540,lecture-20,Wed,March,21,11,20,Gene networks and function prediction,PP
STAT540-Seminar,seminar-10,Wed,March,21,12,NA,"Supervised learning, cross-validation, variable selection",TA
STAT540,Announcement,Thurs,March,22,11,NA,Part 2 of assignment due,NA
STAT540,lecture-21,Mon,March,26,12,21,Mendelian Randomization and Causality,GFC
STAT540,lecture-22,Wed,March,28,12,22,Multi-omic analysis,SM
STAT540-Seminar,seminar-11,Wed,March,28,13,NA,Group project work,TA
STAT540,Break,Mon,April,2,14,NA,Family Day,NA
STAT540-Seminar,seminar-12,Wed,April,4,15,NA,Group project work,TA
STAT540,Announcement,Wed,April,4,14,24,Poster session,NA
STAT540,Announcement,Wed,April,5,14,24,Individual report due,NA
